date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:08	280472/280472	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/docs/get-started/flutter-for/xamarin-forms-devs	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/docs/get-started/flutter-for/xamarin-forms-devs.html	(from https://flutter.dev/docs/get-started/install)
16:57:08	63541/63541	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/docs/get-started/flutter-for/declarative	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/docs/get-started/flutter-for/declarative.html	(from https://flutter.dev/docs/get-started/install)
16:57:08	71237/71237	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/docs/get-started/web	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/docs/get-started/web.html	(from https://flutter.dev/docs/get-started/install)
16:57:09	76583/76583	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/docs/get-started/install/windows	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/docs/get-started/install/windows.html	(from https://flutter.dev/docs/get-started/install)
16:57:09	89724/89724	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/docs/get-started/install/macos	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/docs/get-started/install/macos.html	(from https://flutter.dev/docs/get-started/install)
16:57:09	40/40	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2020%20Aug%202020%2015:57:09%20GMT	https://flutter.dev/docs/get-started/install/	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/docs/get-started/install/index.html	(from https://flutter.dev/docs/get-started/install)
16:57:09	85170/85170	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/docs/get-started/install/linux	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/docs/get-started/install/linux.html	(from https://flutter.dev/docs/get-started/install)
16:57:10	86518/86518	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/docs/get-started/install/chromeos	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/docs/get-started/install/chromeos.html	(from https://flutter.dev/docs/get-started/install)
16:57:10	1473/1473	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/images/flutter-mono-81x100.png	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/images/flutter-mono-81x100.png	(from https://flutter.dev/docs/get-started/install)
16:57:11	202902/202902	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-solid-900-32501727bb23fc77615b1ec76b5f298ec22198c0f3d6a3e7d6fe4ac3cf315db9.eot	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-solid-900-32501727bb23fc77615b1ec76b5f298ec22198c0f3d6a3e7d6fe4ac3cf315db9.eot	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
